# Square Foot,Year Built,Price
139.39,1963.00,127.93
178.79,1963.00,190.12
218.18,1963.00,216.93
257.58,1963.00,256.11
296.97,1963.00,358.45
336.36,1963.00,225.15
375.76,1963.00,153.30
415.15,1963.00,317.21
454.55,1963.00,289.49
493.94,1963.00,259.11
533.33,1963.00,310.96
572.73,1963.00,378.24
612.12,1963.00,348.23
651.52,1963.00,331.59
690.91,1963.00,458.10
730.30,1963.00,391.66
769.70,1963.00,361.77
809.09,1963.00,406.92
848.48,1963.00,480.53
887.88,1963.00,355.36
927.27,1963.00,434.15
966.67,1963.00,455.39
1006.06,1963.00,416.42
1045.45,1963.00,476.91
1084.85,1963.00,589.02
1124.24,1963.00,541.24
1163.64,1963.00,419.24
1203.03,1963.00,558.83
1242.42,1963.00,466.83
1281.82,1963.00,465.28
1321.21,1963.00,587.39
1360.61,1963.00,526.99
1400.00,1963.00,523.60
1439.39,1963.00,483.46
1478.79,1963.00,581.41
1518.18,1963.00,614.56
1557.58,1963.00,614.88
1596.97,1963.00,631.70
1636.36,1963.00,626.01
1675.76,1963.00,575.34
1715.15,1963.00,576.23
1754.55,1963.00,575.79
1793.94,1963.00,584.68
1833.33,1963.00,626.05
1872.73,1963.00,690.00
1912.12,1963.00,600.18
1951.52,1963.00,621.05
1990.91,1963.00,655.93
2030.30,1963.00,694.38
2069.70,1963.00,678.57
2109.09,1963.00,669.51
2148.48,1963.00,758.99
2187.88,1963.00,712.88
2227.27,1963.00,751.67
2266.67,1963.00,682.81
2306.06,1963.00,727.14
2345.45,1963.00,734.87
2384.85,1963.00,703.51
2424.24,1963.00,728.72
2463.64,1963.00,710.69
2503.03,1963.00,770.39
2542.42,1963.00,715.30
2581.82,1963.00,802.60
2621.21,1963.00,746.19
2660.61,1963.00,830.08
2700.00,1963.00,807.81
2739.39,1963.00,715.38
2778.79,1963.00,800.88
2818.18,1963.00,770.26
2857.58,1963.00,764.64
2896.97,1963.00,745.04
2936.36,1963.00,771.94
2975.76,1963.00,796.73
3015.15,1963.00,780.65
3054.55,1963.00,872.89
3093.94,1963.00,884.74
3133.33,1963.00,758.46
3172.73,1963.00,788.49
3212.12,1963.00,989.05
3251.52,1963.00,847.01
3290.91,1963.00,780.85
3330.30,1963.00,845.11
3369.70,1963.00,924.17
3409.09,1963.00,876.29
3448.48,1963.00,760.25
3487.88,1963.00,889.65
3527.27,1963.00,927.48
3566.67,1963.00,764.57
3606.06,1963.00,1036.32
3645.45,1963.00,902.78
3684.85,1963.00,955.30
3724.24,1963.00,944.69
3763.64,1963.00,871.60
3803.03,1963.00,975.37
3842.42,1963.00,945.02
3881.82,1963.00,890.93
3921.21,1963.00,1014.29
3960.61,1963.00,924.17
4000.00,1963.00,915.62
100.00,1963.00,10.00
139.39,1963.00,112.56
178.79,1963.00,298.46
218.18,1963.00,232.56
257.58,1963.00,277.07
296.97,1963.00,258.57
336.36,1963.00,263.86
375.76,1963.00,288.37
415.15,1963.00,287.13
454.55,1963.00,268.64
493.94,1963.00,302.21
533.33,1963.00,312.75
572.73,1963.00,422.78
612.12,1963.00,344.76
651.52,1963.00,445.27
690.91,1963.00,311.52
730.30,1963.00,412.97
769.70,1963.00,379.23
809.09,1963.00,402.32
848.48,1963.00,391.16
887.88,1963.00,496.88
927.27,1963.00,408.10
966.67,1963.00,460.32
1006.06,1963.00,438.97
1045.45,1963.00,520.72
1084.85,1963.00,565.21
1124.24,1963.00,501.82
1163.64,1963.00,501.30
1203.03,1963.00,445.25
1242.42,1963.00,588.52
1281.82,1963.00,467.38
1321.21,1963.00,541.01
1360.61,1963.00,543.17
1400.00,1963.00,587.43
1439.39,1963.00,648.41
1478.79,1963.00,563.17
1518.18,1963.00,619.15
1557.58,1963.00,607.93
1596.97,1963.00,617.12
1636.36,1963.00,570.60
1675.76,1963.00,627.72
1715.15,1963.00,682.40
1754.55,1963.00,684.13
1793.94,1963.00,634.66
1833.33,1963.00,566.62
1872.73,1963.00,551.30
1912.12,1963.00,639.19
1951.52,1963.00,597.90
1990.91,1963.00,650.19
2030.30,1963.00,730.04
2069.70,1963.00,687.66
2109.09,1963.00,771.56
2148.48,1963.00,633.06
2187.88,1963.00,661.58
2227.27,1963.00,713.93
2266.67,1963.00,741.07
2306.06,1963.00,717.86
2345.45,1963.00,643.89
2384.85,1963.00,810.91
2424.24,1963.00,732.70
2463.64,1963.00,722.88
2503.03,1963.00,724.35
2542.42,1963.00,735.66
2581.82,1963.00,749.42
2621.21,1963.00,798.67
2660.61,1963.00,801.00
2700.00,1963.00,737.30
2739.39,1963.00,876.09
2778.79,1963.00,813.82
2818.18,1963.00,706.78
2857.58,1963.00,859.75
2896.97,1963.00,773.94
2936.36,1963.00,786.37
2975.76,1963.00,759.10
3015.15,1963.00,833.07
3054.55,1963.00,877.55
3093.94,1963.00,832.44
3133.33,1963.00,907.95
3172.73,1963.00,911.28
3212.12,1963.00,860.32
3251.52,1963.00,859.92
3290.91,1963.00,778.82
3330.30,1963.00,831.07
3369.70,1963.00,838.01
3409.09,1963.00,886.21
3448.48,1963.00,889.04
3487.88,1963.00,868.20
3527.27,1963.00,903.63
3566.67,1963.00,1000.60
3606.06,1963.00,925.48
3645.45,1963.00,799.76
3684.85,1963.00,939.73
3724.24,1963.00,920.20
3763.64,1963.00,904.29
3803.03,1963.00,936.57
3842.42,1963.00,933.16
3881.82,1963.00,907.74
3921.21,1963.00,931.83
3960.61,1963.00,971.16
4000.00,1963.00,941.38
100.00,1964.00,62.97
139.39,1964.00,120.92
178.79,1964.00,176.71
218.18,1964.00,153.26
257.58,1964.00,109.99
296.97,1964.00,274.27
336.36,1964.00,245.17
375.76,1964.00,196.33
415.15,1964.00,309.46
454.55,1964.00,293.28
493.94,1964.00,375.92
533.33,1964.00,318.89
572.73,1964.00,372.91
612.12,1964.00,408.05
651.52,1964.00,313.48
690.91,1964.00,433.26
730.30,1964.00,367.99
769.70,1964.00,350.57
809.09,1964.00,365.18
848.48,1964.00,479.21
887.88,1964.00,479.45
927.27,1964.00,443.81
966.67,1964.00,505.32
1006.06,1964.00,414.73
1045.45,1964.00,470.91
1084.85,1964.00,422.62
1124.24,1964.00,571.44
1163.64,1964.00,509.14
1203.03,1964.00,587.47
1242.42,1964.00,482.94
1281.82,1964.00,525.89
1321.21,1964.00,462.36
1360.61,1964.00,453.05
1400.00,1964.00,572.25
1439.39,1964.00,535.19
1478.79,1964.00,603.91
1518.18,1964.00,587.45
1557.58,1964.00,588.29
1596.97,1964.00,598.89
1636.36,1964.00,607.63
1675.76,1964.00,516.43
1715.15,1964.00,671.21
1754.55,1964.00,553.29
1793.94,1964.00,740.14
1833.33,1964.00,665.10
1872.73,1964.00,557.43
1912.12,1964.00,578.42
1951.52,1964.00,632.62
1990.91,1964.00,695.29
2030.30,1964.00,680.71
2069.70,1964.00,695.98
2109.09,1964.00,635.22
2148.48,1964.00,712.93
2187.88,1964.00,675.28
2227.27,1964.00,745.14
2266.67,1964.00,720.52
2306.06,1964.00,731.01
2345.45,1964.00,839.44
2384.85,1964.00,769.54
2424.24,1964.00,702.76
2463.64,1964.00,883.68
2503.03,1964.00,735.46
2542.42,1964.00,734.36
2581.82,1964.00,789.96
2621.21,1964.00,776.79
2660.61,1964.00,759.28
2700.00,1964.00,815.01
2739.39,1964.00,919.89
2778.79,1964.00,799.36
2818.18,1964.00,732.53
2857.58,1964.00,852.90
2896.97,1964.00,788.69
2936.36,1964.00,739.08
2975.76,1964.00,856.69
3015.15,1964.00,872.42
3054.55,1964.00,834.42
3093.94,1964.00,876.49
3133.33,1964.00,893.90
3172.73,1964.00,953.34
3212.12,1964.00,874.05
3251.52,1964.00,857.58
3290.91,1964.00,871.40
3330.30,1964.00,842.48
3369.70,1964.00,850.39
3409.09,1964.00,913.92
3448.48,1964.00,916.62
3487.88,1964.00,949.82
3527.27,1964.00,923.66
3566.67,1964.00,741.68
3606.06,1964.00,893.03
3645.45,1964.00,972.84
3684.85,1964.00,916.97
3724.24,1964.00,1005.01
3763.64,1964.00,954.89
3803.03,1964.00,884.06
3842.42,1964.00,994.20
3881.82,1964.00,952.86
3921.21,1964.00,968.48
3960.61,1964.00,1018.07
4000.00,1964.00,957.97
100.00,1964.00,54.60
139.39,1964.00,168.51
178.79,1964.00,82.70
218.18,1964.00,199.07
257.58,1964.00,177.15
296.97,1964.00,240.29
336.36,1964.00,301.63
375.76,1964.00,225.26
415.15,1964.00,321.47
454.55,1964.00,277.02
493.94,1964.00,263.85
533.33,1964.00,276.65
572.73,1964.00,357.64
612.12,1964.00,286.93
651.52,1964.00,334.14
690.91,1964.00,384.86
730.30,1964.00,382.83
769.70,1964.00,388.40
809.09,1964.00,427.65
848.48,1964.00,468.13
887.88,1964.00,407.94
927.27,1964.00,432.67
966.67,1964.00,461.98
1006.06,1964.00,507.94
1045.45,1964.00,458.63
1084.85,1964.00,490.06
1124.24,1964.00,508.85
1163.64,1964.00,479.44
1203.03,1964.00,575.60
1242.42,1964.00,548.58
1281.82,1964.00,548.41
1321.21,1964.00,571.16
1360.61,1964.00,512.75
1400.00,1964.00,508.72
1439.39,1964.00,523.20
1478.79,1964.00,515.28
1518.18,1964.00,619.83
1557.58,1964.00,549.05
1596.97,1964.00,606.75
1636.36,1964.00,595.10
1675.76,1964.00,638.15
1715.15,1964.00,667.47
1754.55,1964.00,615.20
1793.94,1964.00,700.42
1833.33,1964.00,688.09
1872.73,1964.00,626.57
1912.12,1964.00,673.00
1951.52,1964.00,646.07
1990.91,1964.00,597.82
2030.30,1964.00,727.59
2069.70,1964.00,707.59
2109.09,1964.00,706.05
2148.48,1964.00,710.73
2187.88,1964.00,652.98
2227.27,1964.00,640.93
2266.67,1964.00,631.95
2306.06,1964.00,695.32
2345.45,1964.00,722.45
2384.85,1964.00,774.02
2424.24,1964.00,731.63
2463.64,1964.00,778.56
2503.03,1964.00,794.50
2542.42,1964.00,682.65
2581.82,1964.00,751.41
2621.21,1964.00,738.75
2660.61,1964.00,797.56
2700.00,1964.00,874.52
2739.39,1964.00,829.97
2778.79,1964.00,862.09
2818.18,1964.00,768.79
2857.58,1964.00,863.96
2896.97,1964.00,801.48
2936.36,1964.00,768.19
2975.76,1964.00,880.90
3015.15,1964.00,839.98
3054.55,1964.00,896.47
3093.94,1964.00,895.12
3133.33,1964.00,855.67
3172.73,1964.00,854.24
3212.12,1964.00,912.81
3251.52,1964.00,944.53
3290.91,1964.00,775.77
3330.30,1964.00,864.41
3369.70,1964.00,901.89
3409.09,1964.00,986.86
3448.48,1964.00,974.75
3487.88,1964.00,838.92
3527.27,1964.00,891.64
3566.67,1964.00,918.18
3606.06,1964.00,905.79
3645.45,1964.00,825.29
3684.85,1964.00,913.65
3724.24,1964.00,924.39
3763.64,1964.00,875.80
3803.03,1964.00,851.37
3842.42,1964.00,909.36
3881.82,1964.00,924.88
3921.21,1964.00,904.65
3960.61,1964.00,1021.41
4000.00,1964.00,923.41
100.00,1964.00,50.97
139.39,1964.00,131.65
178.79,1964.00,182.73
218.18,1964.00,156.06
257.58,1964.00,216.12
296.97,1964.00,243.52
336.36,1964.00,244.77
375.76,1964.00,314.27
415.15,1964.00,282.35
454.55,1964.00,329.70
493.94,1964.00,409.51
533.33,1964.00,361.70
572.73,1964.00,337.54
612.12,1964.00,354.36
651.52,1964.00,341.08
690.91,1964.00,347.64
730.30,1964.00,322.36
769.70,1964.00,500.96
809.09,1964.00,369.18
848.48,1964.00,510.55
887.88,1964.00,421.07
927.27,1964.00,512.41
966.67,1964.00,560.88
1006.06,1964.00,417.43
1045.45,1964.00,508.52
1084.85,1964.00,463.32
1124.24,1964.00,470.08
1163.64,1964.00,496.28
1203.03,1964.00,529.92
1242.42,1964.00,513.25
1281.82,1964.00,569.89
1321.21,1964.00,565.51
1360.61,1964.00,490.73
1400.00,1964.00,604.87
1439.39,1964.00,648.85
1478.79,1964.00,601.71
1518.18,1964.00,473.85
1557.58,1964.00,646.21
1596.97,1964.00,583.75
1636.36,1964.00,550.71
1675.76,1964.00,641.85
1715.15,1964.00,518.97
1754.55,1964.00,569.15
1793.94,1964.00,575.14
1833.33,1964.00,721.60
1872.73,1964.00,687.48
1912.12,1964.00,570.05
1951.52,1964.00,709.60
1990.91,1964.00,554.71
2030.30,1964.00,702.55
2069.70,1964.00,644.83
2109.09,1964.00,703.75
2148.48,1964.00,723.02
2187.88,1964.00,689.24
2227.27,1964.00,677.09
2266.67,1964.00,733.21
2306.06,1964.00,788.41
2345.45,1964.00,707.84
2384.85,1964.00,870.70
2424.24,1964.00,716.68
2463.64,1964.00,764.85
2503.03,1964.00,896.03
2542.42,1964.00,744.40
2581.82,1964.00,864.71
2621.21,1964.00,722.48
2660.61,1964.00,792.84
2700.00,1964.00,819.31
2739.39,1964.00,726.58
2778.79,1964.00,769.52
2818.18,1964.00,736.37
2857.58,1964.00,873.44
2896.97,1964.00,841.78
2936.36,1964.00,753.81
2975.76,1964.00,816.39
3015.15,1964.00,827.11
3054.55,1964.00,816.98
3093.94,1964.00,782.03
3133.33,1964.00,785.62
3172.73,1964.00,893.94
3212.12,1964.00,811.31
3251.52,1964.00,938.29
3290.91,1964.00,848.72
3330.30,1964.00,885.32
3369.70,1964.00,854.83
3409.09,1964.00,1029.31
3448.48,1964.00,880.42
3487.88,1964.00,836.76
3527.27,1964.00,855.99
3566.67,1964.00,947.92
3606.06,1964.00,914.06
3645.45,1964.00,974.51
3684.85,1964.00,1030.43
3724.24,1964.00,872.54
3763.64,1964.00,949.40
3803.03,1964.00,930.21
3842.42,1964.00,937.12
3881.82,1964.00,962.90
3921.21,1964.00,981.81
3960.61,1964.00,956.08
4000.00,1964.00,935.62
100.00,1964.00,63.51
139.39,1964.00,10.00
178.79,1964.00,107.10
218.18,1964.00,285.70
257.58,1964.00,154.72
296.97,1964.00,194.94
336.36,1964.00,245.37
375.76,1964.00,326.93
415.15,1964.00,263.08
454.55,1964.00,256.66
493.94,1964.00,348.17
533.33,1964.00,379.26
572.73,1964.00,317.48
612.12,1964.00,294.10
651.52,1964.00,350.58
690.91,1964.00,408.80
730.30,1964.00,383.20
769.70,1964.00,475.43
809.09,1964.00,427.24
848.48,1964.00,474.74
887.88,1964.00,453.80
927.27,1964.00,448.28
966.67,1964.00,526.99
1006.06,1964.00,475.73
1045.45,1964.00,450.43
1084.85,1964.00,524.21
1124.24,1964.00,646.45
1163.64,1964.00,525.20
1203.03,1964.00,485.47
1242.42,1964.00,458.97
1281.82,1964.00,517.81
1321.21,1964.00,531.99
1360.61,1964.00,454.23
1400.00,1964.00,592.61
1439.39,1964.00,592.12
1478.79,1964.00,512.55
1518.18,1964.00,547.87
1557.58,1964.00,579.92
1596.97,1964.00,540.25
1636.36,1964.00,637.66
1675.76,1964.00,594.06
1715.15,1964.00,606.80
1754.55,1964.00,618.28
1793.94,1964.00,642.21
1833.33,1964.00,600.58
1872.73,1964.00,664.19
1912.12,1964.00,766.66
1951.52,1964.00,715.80
1990.91,1964.00,677.51
2030.30,1964.00,666.67
2069.70,1964.00,647.92
2109.09,1964.00,680.29
2148.48,1964.00,711.59
2187.88,1964.00,687.73
2227.27,1964.00,656.09
2266.67,1964.00,719.75
2306.06,1964.00,696.31
2345.45,1964.00,703.40
2384.85,1964.00,711.05
2424.24,1964.00,724.65
2463.64,1964.00,732.59
2503.03,1964.00,838.26
2542.42,1964.00,839.68
2581.82,1964.00,730.08
2621.21,1964.00,810.47
2660.61,1964.00,822.85
2700.00,1964.00,747.52
2739.39,1964.00,774.64
2778.79,1964.00,909.76
2818.18,1964.00,718.34
2857.58,1964.00,790.22
2896.97,1964.00,831.57
2936.36,1964.00,844.99
2975.76,1964.00,737.43
3015.15,1964.00,729.00
3054.55,1964.00,847.68
3093.94,1964.00,807.40
3133.33,1964.00,833.66
3172.73,1964.00,899.69
3212.12,1964.00,893.68
3251.52,1964.00,827.49
3290.91,1964.00,894.29
3330.30,1964.00,914.80
3369.70,1964.00,929.83
3409.09,1964.00,846.03
3448.48,1964.00,738.20
3487.88,1964.00,843.49
3527.27,1964.00,846.81
3566.67,1964.00,830.62
3606.06,1964.00,950.12
3645.45,1964.00,1005.92
3684.85,1964.00,1009.09
3724.24,1964.00,933.21
3763.64,1964.00,890.99
3803.03,1964.00,980.86
3842.42,1964.00,993.19
3881.82,1964.00,966.13
3921.21,1964.00,966.66
3960.61,1964.00,979.53
4000.00,1964.00,999.24
100.00,1965.00,50.35
139.39,1965.00,126.43
178.79,1965.00,231.40
218.18,1965.00,171.92
257.58,1965.00,303.17
296.97,1965.00,238.56
336.36,1965.00,217.77
375.76,1965.00,321.83
415.15,1965.00,255.30
454.55,1965.00,334.72
493.94,1965.00,322.35
533.33,1965.00,388.00
572.73,1965.00,253.21
612.12,1965.00,362.05
651.52,1965.00,380.48
690.91,1965.00,396.36
730.30,1965.00,448.23
769.70,1965.00,393.69
809.09,1965.00,440.92
848.48,1965.00,401.04
887.88,1965.00,516.08
927.27,1965.00,460.56
966.67,1965.00,395.22
1006.06,1965.00,430.93
1045.45,1965.00,572.18
1084.85,1965.00,480.78
1124.24,1965.00,519.67
1163.64,1965.00,564.95
1203.03,1965.00,515.54
1242.42,1965.00,503.27
1281.82,1965.00,571.33
1321.21,1965.00,484.41
1360.61,1965.00,511.49
1400.00,1965.00,510.02
1439.39,1965.00,611.06
1478.79,1965.00,537.45
1518.18,1965.00,659.76
1557.58,1965.00,625.56
1596.97,1965.00,605.71
1636.36,1965.00,649.19
1675.76,1965.00,589.37
1715.15,1965.00,646.64
1754.55,1965.00,638.24
1793.94,1965.00,639.48
1833.33,1965.00,644.87
1872.73,1965.00,602.33
1912.12,1965.00,626.97
1951.52,1965.00,644.91
1990.91,1965.00,678.42
2030.30,1965.00,644.72
2069.70,1965.00,625.03
2109.09,1965.00,696.81
2148.48,1965.00,623.18
2187.88,1965.00,671.04
2227.27,1965.00,720.70
2266.67,1965.00,714.40
2306.06,1965.00,712.53
2345.45,1965.00,725.55
2384.85,1965.00,701.11
2424.24,1965.00,767.83
2463.64,1965.00,717.67
2503.03,1965.00,746.61
2542.42,1965.00,791.06
2581.82,1965.00,705.23
2621.21,1965.00,851.12
2660.61,1965.00,851.87
2700.00,1965.00,748.98
2739.39,1965.00,794.68
2778.79,1965.00,751.41
2818.18,1965.00,874.35
2857.58,1965.00,847.34
2896.97,1965.00,834.46
2936.36,1965.00,865.21
2975.76,1965.00,800.58
3015.15,1965.00,819.20
3054.55,1965.00,769.00
3093.94,1965.00,905.32
3133.33,1965.00,880.80
3172.73,1965.00,864.54
3212.12,1965.00,848.19
3251.52,1965.00,889.17
3290.91,1965.00,898.68
3330.30,1965.00,914.26
3369.70,1965.00,867.51
3409.09,1965.00,901.94
3448.48,1965.00,853.96
3487.88,1965.00,865.85
3527.27,1965.00,870.69
3566.67,1965.00,894.73
3606.06,1965.00,878.70
3645.45,1965.00,868.05
3684.85,1965.00,896.72
3724.24,1965.00,864.49
3763.64,1965.00,954.43
3803.03,1965.00,861.46
3842.42,1965.00,940.66
3881.82,1965.00,968.38
3921.21,1965.00,947.28
3960.61,1965.00,942.34
4000.00,1965.00,992.34
100.00,1966.00,10.00
139.39,1966.00,48.42
178.79,1966.00,242.20
218.18,1966.00,184.21
257.58,1966.00,210.43
296.97,1966.00,270.26
336.36,1966.00,422.96
375.76,1966.00,332.11
415.15,1966.00,201.47
454.55,1966.00,278.70
493.94,1966.00,287.72
533.33,1966.00,374.86
572.73,1966.00,369.33
612.12,1966.00,397.70
